Позывной,Гос. номер,Расстояние,Стоимость,Наличными,Безнал,Подача,Маршрут,Статус,Тип оплаты,Зачисление,Оценка
74715,AE8901OT,15.07,172.00,0.00,172.00,22-05-2021 12:52,"Святоюрьевскаяулица (Вишневое), 28  - Лысенко улица, 1 ",Выполнен,Безналичная оплата,На баланс,1
184596,AE1268OX,4.48,75.00,0.00,75.00,22-05-2021 12:47,"Днепровская Набережная, 19А  - Шамо Игоря бульвар, 1 ",Выполнен,Безналичная оплата,На баланс,5
191232,AE1173OX,9.67,130.00,0.00,130.00,22-05-2021 12:28,"Торговый центр Эпицентр (просп. Григоренко, 40)  - Флоренции улица, 1/11 ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,14.23,244.00,244.00,0.00,22-05-2021 12:25,"Ресторан КФС (вул. Ползунова, 1)  - Фізкультурний провулок (Петропавлівська Борщагівка), 23 ",Выполнен,Оплата наличными,Оплата наличными,5
76738,AE3861MC,21.60,274.00,274.00,0.00,22-05-2021 12:17,"Донца Михаила улица, 6  - Бальзака Оноре Де улица, 81/1 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,13.62,130.00,0.00,130.00,22-05-2021 12:13,"Музей Духовные сокровища Украины (ул. Десятинная, 12)  - Срибнокильская улица, 1 ",Выполнен,Безналичная оплата,На баланс,5
185571,AE1267OX,9.18,136.00,136.00,0.00,22-05-2021 12:12,"Стеценко улица, 2А  - Метро Почайная (Книжный рынок) ",Выполнен,Оплата наличными,Оплата наличными,
76738,AE3861MC,6.28,169.00,169.00,0.00,22-05-2021 11:55,"Гаврилишина улица, 1/28  - Донца Михаила улица, 6 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,10.76,134.00,0.00,134.00,22-05-2021 11:49,"Клиника ИГР (просп. Победы, 121Б)  - Липковского улица, 16А ",Выполнен,Безналичная оплата,На баланс,5
191232,AE1173OX,18.50,152.00,152.00,0.00,22-05-2021 11:37,"Больница Городская клиническая №9 (ул. Рижская, 1)  - Русовой Софии улица, 3 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,6.64,87.00,87.00,0.00,22-05-2021 11:35,"Златопольская улица, 4  - Памятник Богдану Хмельницкому (Софиевская площадь) ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,5.89,67.00,67.00,0.00,22-05-2021 11:19,"Большая Васильковская улица, 132  - Кудряшова улица, 16 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT22-05-2021 11:07,"Березовая улица, 46  - Метро Черниговская (в сторону Дарницкой площади) ",Отменен,Оплата наличными,Оплата наличными,
75094,AE8912OT,11.21,158.00,0.00,158.00,22-05-2021 11:05,"Черновола Вячеслава улица (Вишневое), 51В  - Львовская улица, 11 ",Выполнен,Безналичная оплата,На баланс,5
191232,AE1173OX,10.52,122.00,0.00,122.00,22-05-2021 10:57,"Корольова Академіка проспект, 12Л  - Щусєва Академіка вулиця, 10А ",Выполнен,Безналичная оплата,На баланс,5
183904,AE0694PA,18.37,168.00,0.00,168.00,22-05-2021 10:41,"Большая Васильковская улица, 124  - Шалимова Академика улица (Софиевская Борщаговка), 67В ",Выполнен,Безналичная оплата,На баланс,5
184596,AE1268OX,6.44,114.00,0.00,114.00,22-05-2021 10:03,"Heroiv Sevastopolia street, 35А  - Zhylianska street, 87/30 ",Выполнен,Безналичная оплата,На баланс,5
184077,AE3690PB,11.25,145.00,0.00,145.00,22-05-2021 09:42,"Салон красоты Wonderwork (Вильямса Академика ул. 9К1)  - Дегтяревская улица, 5 ",Выполнен,Безналичная оплата,На баланс,
191232,AE1173OX,33.15,279.00,279.00,0.00,22-05-2021 09:37,"Закревского Николая улица, 63А  - Рокоссовского Маршала проспект, 3  - Симиренко улица, 12А ",Выполнен,Оплата наличными,Оплата наличными,
198700,BH9134OH,10.39,182.00,182.00,0.00,22-05-2021 09:34,"Vidradnyi avenue, 12А  - Коновальця Євгена вулиця, 32В ",Выполнен,Оплата наличными,Оплата наличными,5
183904,AE0694PA,31.86,251.00,0.00,251.00,22-05-2021 09:18,"Лесная улица (Мощун), 58  - Автовокзал Центральный (пл. Демиевская, 3) ",Выполнен,Безналичная оплата,На баланс,5
184596,AE1268OX,21.18,185.00,185.00,0.00,22-05-2021 09:07,"Лесной проспект, 15А  - Козелецкая улица, 24Ж ",Выполнен,Оплата наличными,Оплата наличными,5
191232,AE1173OX,11.90,104.00,104.00,0.00,22-05-2021 09:04,"вулиця Йорданська, 4  - Электротехническая улица, 45 ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,9.71,113.00,113.00,0.00,22-05-2021 09:01,"Тулузы улица, 3  - Комарова Космонавта проспект, 38А  - Отрадный проспект, 95 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,8.65,130.00,130.00,0.00,22-05-2021 09:00,"Ресторан КФС (ул. Ползунова, 1)  - Блакитного улица, 1 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,5.82,100.00,100.00,0.00,22-05-2021 08:39,"вулиця Михайла Ломоносова, 36В  - Соломенская улица, 15А ",Выполнен,Оплата наличными,Оплата наличными,5
191232,AE1173OX,7.47,109.00,0.00,109.00,22-05-2021 08:37,"Светлицкого улица, 28Б  - Иорданская улица, 1А ",Выполнен,Безналичная оплата,На баланс,5
184596,AE1268OX22-05-2021 08:35,"Телиги Елены улица, 39  - Мира улица (Софиевская Борщаговка), 13 ",Отменен,Оплата наличными,Оплата наличными,
184596,AE1268OX,19.11,168.00,0.00,168.00,22-05-2021 08:20,"Берлинского Максима улица, 31  - АЗС WOG (Броварской просп. 3А) ",Выполнен,Безналичная оплата,На баланс,5
183904,AE0694PA,31.00,231.00,0.00,231.00,22-05-2021 08:16,"Коновальца Евгения улица, 36В  - Комплекс Пуща Лесная (Мощун, ул. Лесная, 1) ",Выполнен,Безналичная оплата,На баланс,5
191232,AE1173OX,5.64,65.00,0.00,65.00,22-05-2021 08:12,"Ольжича улица, 7А  - ТЦ Орнамент (просп. Правды, 58) ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,11.05,132.00,132.00,0.00,22-05-2021 08:12,"Загородна, 2  - Ломоносова улица, 83А ",Выполнен,Оплата наличными,Оплата наличными,5
183904,AE0694PA,31.52,248.00,248.00,0.00,22-05-2021 07:45,"Аеропорт Бориспіль, Термінал Д  - Тютюнника улица, 37/1 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,11.32,123.00,0.00,123.00,22-05-2021 07:45,"Железнодорожный вокзал Южный (ул. Кирпы Георгия, 4)  - Европейская улица (Крюковщина), 2А ",Выполнен,Безналичная оплата,На баланс,5
184077,AE3690PB,9.65,142.00,142.00,0.00,22-05-2021 07:24,"Аеропорт Київ, Жуляни Термінал А (вулиця Медова, 2)  - Маршала Конєва вулиця, 6 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,16.78,143.00,0.00,143.00,22-05-2021 07:20,"Армянская улица, 3  - Гостиница Рациотель, Raziotel (Харьковское шоссе, 177/1)  - Амосова улица, 6 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,38.34,314.00,314.00,0.00,22-05-2021 07:20,"Половецкая улица, 14А  - Аэропорт Борисполь, Терминал Д ",Выполнен,Оплата наличными,Оплата наличными,
184596,AE1268OX,16.34,138.00,138.00,0.00,22-05-2021 07:18,"Наумова Генерала вулиця, 33А  - Кирилівська вулиця, 86 ",Выполнен,Оплата наличными,Оплата наличными,5
184077,AE3690PB,17.53,185.00,185.00,0.00,22-05-2021 06:07,"Григоренко Петра проспект, 9  - Аэропорт Киев, Жуляны Терминал А (улица Медовая, 2) ",Выполнен,Оплата наличными,Оплата наличными,
75094,AE8912OT,41.08,345.00,0.00,345.00,22-05-2021 05:52,"Supermarket Bdzhilka (Sikorskoho street, 1A)  - Аеропорт Бориспіль, Термінал Д ",Выполнен,Безналичная оплата,На баланс,5
198700,BH9134OH,15.33,135.00,135.00,0.00,22-05-2021 05:46,"Леонтовича улица, 1  - Козятинский переулок, 4  - Гарматная улица, 18 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,1.60,49.00,0.00,49.00,22-05-2021 05:38,"вулиця Василя Макуха, 1  - Украинская улица, 1/3А ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,8.94,118.00,118.00,0.00,22-05-2021 05:17,"Нововокзальна вулиця, 2  - Івана Гонти вулиця, 7 ",Выполнен,Оплата наличными,Оплата наличными,5
184077,AE3690PB,14.61,161.00,0.00,161.00,22-05-2021 05:15,"Західний підземний перехід, 1  - Ахматовой Анны улица, 13 ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,29.57,229.00,229.00,0.00,22-05-2021 04:42,"Сковороды Григория улица (Ирпень), 10  - Предславинская улица, 49 ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,11.27,177.00,177.00,0.00,22-05-2021 04:32,"Леонтовича улица, 1  - Якира улица, 17А  - Котельникова Михаила улица, 7 ",Выполнен,Оплата наличными,Оплата наличными,5
173746,AE4769OX22-05-2021 04:12,"Макеевская улица, 6  - Порика Василия проспект, 15А ",Отменен,Безналичная оплата,На карту,5
183904,AE0694PA,28.96,265.00,0.00,265.00,22-05-2021 04:00,"Митрополита Шептицкого улица, 22В  - Аэропорт Борисполь, Терминал Д ",Выполнен,Безналичная оплата,На баланс,5
198700,BH9134OH,8.91,108.00,108.00,0.00,22-05-2021 03:55,"Мост Пешеходный (в сторону м.Днепр)  - Большая Васильковская улица, 54 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,36.46,269.00,0.00,269.00,22-05-2021 03:40,"Драгоманова улица, 31  - Киевская улица (Ирпень), 22З ",Выполнен,Безналичная оплата,На баланс,
184077,AE3690PB22-05-2021 03:38,"Памятник Сковороды (Контрактовая площадь)  - Львовская улица, 26А ",Отменен,Безналичная оплата,На карту,5
75094,AE8912OT,2.55,45.00,45.00,0.00,22-05-2021 03:32,"Ресторан Максимум (ул. Декабристов, 12/37)  - Драгоманова улица, 31 ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH22-05-2021 03:28,"Хорива улица, 27  - Грушевського вулиця (Васильків) ",Отменен,Оплата наличными,Оплата наличными,
82131,AE0439OM,5.42,87.00,0.00,87.00,22-05-2021 03:09,"Хорива улица, 27А  - Жилянская улица, 68 ",Выполнен,Безналичная оплата,На баланс,
183904,AE0694PA,25.69,201.00,0.00,201.00,22-05-2021 02:42,"Шолуденко улица (Вышгород), 11  - Малышко Андрея улица, 19 ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,24.22,204.00,204.00,0.00,22-05-2021 02:34,"Метро Позняки (в сторону Центра)  - Ватутина улица (Борисполь), 73 ",Выполнен,Оплата наличными,Оплата наличными,5
72523,AE8902OT22-05-2021 02:18,"Крещатик улица, 44Б  - Полевая улица, 73  - Павленко переулок, 21 ",Отменен,Безналичная оплата,На баланс,5
75094,AE8912OT,4.25,55.00,0.00,55.00,22-05-2021 02:10,"Русовой Софии улица, 5  - Бажана Николая проспект, 1М ",Выполнен,Безналичная оплата,На баланс,5
184077,AE3690PB,3.82,112.00,0.00,112.00,22-05-2021 02:02,"Velyka Vasylkivska street, 20  - Предславинська вулиця, 24  - Лесі Українки бульвар, 24 ",Выполнен,Безналичная оплата,На баланс,
72523,AE8902OT,2.27,79.00,79.00,0.00,22-05-2021 01:57,"Акакдемический театр оперы и балета для детей, музыкальный (ул. Межигорская, 2)  - Хрещатик вулиця ",Выполнен,Оплата наличными,Оплата наличными,1
100283,AE0428OM,8.71,140.00,140.00,0.00,22-05-2021 01:55,"Липковского улица, 16Г  - Московская улица (Жуляны), 28В ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,8.70,81.00,0.00,81.00,22-05-2021 01:52,"Княжий Затон вулиця, 21  - Митрополита Шептицького вулиця, 3В ",Выполнен,Безналичная оплата,На баланс,5
183904,AE0694PA,25.19,194.00,194.00,0.00,22-05-2021 01:50,"Премиум Сеть Тайские SPA «Wai Thai» (ул. Никольско-Слободская, 2-Б)  - Шолуденко улица (Вышгород), 6В ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,18.57,144.00,0.00,144.00,22-05-2021 01:39,"Tsvietaievoi Maryny street, 16В  - Vashchenka Hryhoriia street, 3 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,8.42,107.00,107.00,0.00,22-05-2021 01:38,"вулиця Медова, 63  - Гостиница Днепр (ул. Крещатик, 1/2) ",Выполнен,Оплата наличными,Оплата наличными,3
198700,BH9134OH,13.41,218.00,218.00,0.00,22-05-2021 01:25,"Еленовская улица, 25  - Урлівська вулиця, 36 ",Выполнен,Оплата наличными,Оплата наличными,5
72523,AE8902OT,3.48,111.00,0.00,111.00,22-05-2021 01:24,"Владимирская улица, 50  - Верхний Вал улица, 22 ",Выполнен,Безналичная оплата,На баланс,5
189562,AE4780OX,13.60,206.00,206.00,0.00,22-05-2021 01:17,"Боженка вулиця, 89  - Шолом-Алейхема вулиця, 16 ",Выполнен,Оплата наличными,Оплата наличными,
72523,AE8902OT,1.43,63.00,63.00,0.00,22-05-2021 01:12,"Саксаганского улица, 119  - Саксаганского улица, 78А ",Выполнен,Оплата наличными,Оплата наличными,5
184077,AE3690PB,8.89,160.00,0.00,160.00,22-05-2021 01:09,"Донца Михаила улица, 5  - Мира улица (Софиевская Борщаговка), 41 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,15.04,409.00,0.00,409.00,22-05-2021 00:54,"Крещатик улица, 8  - Первомайская улица (Вишневое), 24Б ",Выполнен,Безналичная оплата,На баланс,
183904,AE0694PA,35.21,264.00,0.00,264.00,22-05-2021 00:53,"Супермаркет АТБ (Ирпень; Университетская ул. 2/1кГ)  - Юности улица, 9/6 ",Выполнен,Безналичная оплата,На баланс,5
173746,AE4769OX,24.78,400.00,400.00,0.00,22-05-2021 00:51,"Константиновская улица, 16  - вулиця Центральна, 7 ",Выполнен,Оплата наличными,Оплата наличными,5
173746,AE4769OX22-05-2021 00:50,"Сагайдачного Петра улица, 18  - Сечевых Стрельцов улица, 13  - Идзиковских Семьи улица, 17  - Метро Академгородок (в сторону метро Житомирская) ",Отменен,Безналичная оплата,На баланс,
75094,AE8912OT,11.23,111.00,0.00,111.00,22-05-2021 00:48,"Оболонская площадь, 1  - Маяковського Володимира проспект, 32Г ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,2.92,145.00,0.00,145.00,22-05-2021 00:46,"Mechnykova street, 5  - Buena Vista Cafe (Velyka Zhytomyrska street, 8/14) ",Выполнен,Безналичная оплата,На баланс,
82131,AE0439OM22-05-2021 00:43,"Ресторан Биф, Beef (ул. Шота Руставели, 11)  - Шишкинский переулок, 5 ",Отменен,Оплата наличными,Оплата наличными,
82131,AE0439OM,2.62,110.00,0.00,110.00,22-05-2021 00:32,"Богдана Хмельницкого улица, 9  - Печерский спуск, 19 ",Выполнен,Безналичная оплата,На баланс,
184077,AE3690PB,13.02,243.00,0.00,243.00,22-05-2021 00:28,"Ресторан John Bull Pub (Саксаганского ул. 36А)  - Симиренко улица, 5В ",Выполнен,Безналичная оплата,На баланс,5
198700,BH9134OH,11.66,140.00,140.00,0.00,22-05-2021 00:28,"Hetmana Vadyma street, 1Б  - Малиновского Маршала улица, 2А ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,1.95,99.00,0.00,99.00,22-05-2021 00:25,"Ночной клуб Скайбар (ул. Большая Васильковская, 5)  - Restaurant Just C.A.F.E. (Воhdana Khmelnytskoho street, 39) ",Выполнен,Безналичная оплата,На баланс,2
183904,AE0694PA,14.75,154.00,0.00,154.00,22-05-2021 00:24,"Магазин Рошен (вул. Семашко, 9/1)  - Тургенєвська вулиця (Ірпінь), 50/3 ",Выполнен,Безналичная оплата,На баланс,5
100283,AE0428OM,25.20,260.00,0.00,260.00,22-05-2021 00:22,"Ветеринарная клиника Зверополис (Героев Сталинграда просп. 20)  - Университетская улица (Ирпень), 2/1 ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,22.09,168.00,0.00,168.00,22-05-2021 00:15,"Леси Украинки улица, 74В  - Иорданская улица, 11Д ",Выполнен,Безналичная оплата,На баланс,5
72523,AE8902OT,1.72,68.00,0.00,68.00,22-05-2021 00:10,"Міністерство праці та соціальної політики (ул.Еспланадная 8/10)  - Заньковецької вулиця, 3/1 ",Выполнен,Безналичная оплата,На баланс,1
173746,AE4769OX,11.21,219.00,219.00,0.00,22-05-2021 00:08,"Гостиница Фермонт Гранд Отель (ул. Набережно-Крещатицкая,1)  - Косенко улица, 57 ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,5.00,143.00,143.00,0.00,22-05-2021 00:08,"Велика Житомирська вулиця, 26А  - Метро Палац Україна (вул. Велика Васильківська, 103/2) ",Выполнен,Оплата наличными,Оплата наличными,
82131,AE0439OM,0.55,120.00,120.00,0.00,21-05-2021 23:57,"Михайловская улица, 21Б  - Гостиница Интерконтиненталь (ул. Большая Житомирская, 2А) ",Выполнен,Оплата наличными,Оплата наличными,
183904,AE0694PA,19.36,170.00,170.00,0.00,21-05-2021 23:52,"Магазин Водомет (Боярка; Крещатик ул. 4А)  - Роллана Ромена бульвар, 11 ",Выполнен,Оплата наличными,Оплата наличными,5
100283,AE0428OM,18.59,190.00,0.00,190.00,21-05-2021 23:50,"Berezniakivska Street, 24  - Pryrichna street, 19 ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,16.64,149.00,149.00,0.00,21-05-2021 23:45,"Ресторан Озеро (ул. Конева Маршала, 8)  - Покровська вулиця (Чабани), 1  - Святошинська вулиця (Вишневе), 27 ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,3.17,141.00,141.00,0.00,21-05-2021 23:33,"Ресторан Княжий Град (ул. Большая Житомирская, 2)  - Тараса Шевченко бульвар, 25 ",Выполнен,Оплата наличными,Оплата наличными,5
184077,AE3690PB,13.15,205.00,0.00,205.00,21-05-2021 23:32,"Ресторан Мафия, Mafia (бульв. Украинки Леси, 26)  - ЖК Сказка (ул. Лебедева Академика, 1) ",Выполнен,Безналичная оплата,На баланс,5
118187,AE7549OE21-05-2021 23:31,"Ресторан Старе Мисто (Закревского ул. 6А)  - Здолбунівська вулиця, 7А ",Отменен,Безналичная оплата,На баланс,5
100283,AE0428OM,14.89,167.00,0.00,167.00,21-05-2021 23:21,"Бизнес Центр 11 Eleven (ул. Соломенская, 11)  - Олени Пчілки вулиця, 2Б ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,2.96,114.00,114.00,0.00,21-05-2021 23:14,"Ресторан Редкая птица (Бассейная ул. 1/2)  - Сечевых Стрельцов улица, 21 ",Выполнен,Оплата наличными,Оплата наличными,
183904,AE0694PA,29.74,273.00,0.00,273.00,21-05-2021 23:01,"Ресторан Normal Art (ул. Антоновича, 81)  - Глушкова Академика проспект, 39  - 40 лет Октября улица (Боярка), 13 ",Выполнен,Безналичная оплата,На баланс,5
198700,BH9134OH,14.50,140.00,0.00,140.00,21-05-2021 23:00,"Hrekova Akademika street, 15  - Sviatoshynska street (Vyshneve), 27Г ",Выполнен,Безналичная оплата,На баланс,5
100283,AE0428OM,10.24,153.00,153.00,0.00,21-05-2021 22:52,"ТРЦ Океан Плаза, Ocean Plaza (вул. Антоновича, 176)  - Голосеевский проспект, 74А  - Антонова Авіаконструктора вулиця, 10 ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,3.81,109.00,0.00,109.00,21-05-2021 22:47,"Культ Ра (Владимирская 4)  - Restaurant Not Only Fish (Velyka Vasylkivska street, 94) ",Выполнен,Безналичная оплата,На баланс,
184077,AE3690PB,9.67,133.00,133.00,0.00,21-05-2021 22:43,"Revutskoho street, 5  - Реута Михаила переулок, 15 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,6.68,79.00,79.00,0.00,21-05-2021 22:36,"вулиця Стеценка, 75  - Чернобыльская улица, 24/26 ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,6.98,150.00,0.00,150.00,21-05-2021 22:34,"Константиновская улица, 2/1  - Житкова Бориса улица, 3 ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,11.44,115.00,0.00,115.00,21-05-2021 22:19,"МакДональдс (просп. Оболонский, 26А)  - Победы проспект, 5В ",Выполнен,Безналичная оплата,На баланс,5
184077,AE3690PB,11.03,140.00,140.00,0.00,21-05-2021 22:14,"Коновальца Евгения улица, 18  - Харьковское шоссе, 17А ",Выполнен,Оплата наличными,Оплата наличными,
198700,BH9134OH,7.88,89.00,0.00,89.00,21-05-2021 22:12,"Победы проспект, 53А  - Верхний Вал улица, 44 ",Выполнен,Безналичная оплата,На баланс,5
74715,AE8901OT,9.54,100.00,100.00,0.00,21-05-2021 22:00,"Воздухофлотский проспект, 30  - Жулянская улица (Крюковщина), 2А ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,6.08,100.00,0.00,100.00,21-05-2021 21:58,"Ресторан Пентхаус (ул. Большая Васильковская, 58)  - Большая Житомирская улица, 8Б  - Ильенко Юрия улица, 10 ",Выполнен,Безналичная оплата,На баланс,
184077,AE3690PB,10.53,95.00,95.00,0.00,21-05-2021 21:44,"Машиностроительная улица, 41  - Супермаркет Ашан (ул. Антоновича, 176) ",Выполнен,Оплата наличными,Оплата наличными,
184596,AE1268OX,10.59,96.00,96.00,0.00,21-05-2021 21:37,"Пономарева улица (Коцюбинское), 17  - Макеевская улица, 7 ",Выполнен,Оплата наличными,Оплата наличными,5
183904,AE0694PA,13.57,154.00,154.00,0.00,21-05-2021 21:36,"Тимошенко Маршала улица, 11  - Ресторан Лукка, Lucca (ул. Соломенская, 11) ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,22.19,167.00,0.00,167.00,21-05-2021 21:28,"Творческая улица, 6  - Heroiv Dnipra street, 19 ",Выполнен,Безналичная оплата,На баланс,5
100283,AE0428OM,9.83,100.00,100.00,0.00,21-05-2021 21:21,"Михайловская улица, 21Б  - Героев Обороны улица, 10А ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,5.57,85.00,0.00,85.00,21-05-2021 21:07,"вулиця Академіка Єфремова  - Пономарьова вулиця (Коцюбинське), 26К3 ",Выполнен,Безналичная оплата,На баланс,5
74715,AE8901OT,5.78,65.00,65.00,0.00,21-05-2021 21:05,"Богдана Хмельницкого улица, 48А  - Питерская улица, 14 ",Выполнен,Оплата наличными,Оплата наличными,5
100283,AE0428OM,7.55,77.00,0.00,77.00,21-05-2021 20:50,"Кинотеатр Баттерфляй DeLuxe (ул. Антоновича, 50)  - Электриков улица, 26/10 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,14.10,156.00,156.00,0.00,21-05-2021 20:35,"Урловская улица, 10А  - Дніпровська набережна, 33  - Железнодорожный вокзал Центральный ",Выполнен,Оплата наличными,Оплата наличными,
118187,AE7549OE,31.99,283.00,283.00,0.00,21-05-2021 20:18,"Аеропорт Бориспіль, Термінал Д  - Велика Васильківська вулиця, 85/87 ",Выполнен,Оплата наличными,Оплата наличными,5
183904,AE0694PA,22.99,298.00,0.00,298.00,21-05-2021 20:14,"Вильямса Академика улица, 19/14  - Васильковская улица, 8  - Минский проспект, 20А ",Выполнен,Безналичная оплата,На баланс,5
74715,AE8901OT,1.48,45.00,45.00,0.00,21-05-2021 20:11,"Прорезная улица, 10  - Ярославов Вал улица, 14А ",Выполнен,Оплата наличными,Оплата наличными,5
74715,AE8901OT,3.09,63.00,63.00,0.00,21-05-2021 19:26,"Липковского улица, 16В  - Большая Васильковская улица, 29 ",Выполнен,Оплата наличными,Оплата наличными,5
101768,AE2982OA,6.72,162.00,162.00,0.00,21-05-2021 19:14,"Супермаркет Ельдорадо (вул. Кільцева дорога, 4)  - Победы проспект, 125 ",Выполнен,Оплата наличными,Оплата наличными,5
100283,AE0428OM,21.45,250.00,250.00,0.00,21-05-2021 19:07,"Мейтуса Композитора улица, 4А  - Парково-Сырецкая улица, 4  - Дворец Спорта (пл. Спортивная, 1) ",Выполнен,Оплата наличными,Оплата наличными,5
100283,AE0428OM21-05-2021 19:07,"Ломоносова улица, 57  - Васильковская улица, 23/16 ",Отменен,Оплата наличными,Оплата наличными,
191232,AE1173OX,19.53,243.00,0.00,243.00,21-05-2021 18:45,"Чавдар Елизаветы улица, 34  - Клуб бильярдный Лидер (Скляренко ул. 5) ",Выполнен,Безналичная оплата,На баланс,5
183904,AE0694PA,14.76,180.00,180.00,0.00,21-05-2021 18:40,"Тернопольская улица (Петропавловская Борщаговка), 5  - Глушкова Академика проспект, 9Е ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,6.04,100.00,100.00,0.00,21-05-2021 18:36,"Жилянская улица, 146  - Голего Николая улица, 7В ",Выполнен,Оплата наличными,Оплата наличными,5
100283,AE0428OM,10.90,180.00,180.00,0.00,21-05-2021 18:29,"Vulytsya Yevropeysʹka, 2А  - Метро Васильковская (Васильковская ул. 32) ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,25.79,270.00,270.00,0.00,21-05-2021 18:22,"Oleny Pchilky street, 2Б  - Oksamytova street (Petropavlivska Borshchahivka), 9А ",Выполнен,Оплата наличными,Оплата наличными,5
74715,AE8901OT,4.93,100.00,100.00,0.00,21-05-2021 17:47,"Кадетский Гай улица, 3  - Залізничний вокзал Південний (вул. Кірпи Георгія, 4 ) ",Выполнен,Оплата наличными,Оплата наличными,5
183904,AE0694PA,29.46,250.00,250.00,0.00,21-05-2021 17:37,"Вишняковская улица, 7Б  - Киевская улица (Петропавловская Борщаговка), 8 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,22.65,233.00,233.00,0.00,21-05-2021 17:30,"вулиця В'ячеслава Чорновола, 46А  - Братиславская улица, 6А ",Выполнен,Оплата наличными,Оплата наличными,5
191232,AE1173OX,20.93,210.00,0.00,210.00,21-05-2021 17:26,"Героев Сталинграда проспект, 43В  - Чавдар Елизаветы улица, 9 ",Выполнен,Безналичная оплата,На баланс,5
100283,AE0428OM,16.46,250.00,250.00,0.00,21-05-2021 17:13,"Ресторан Львовские Круасаны (Генерала Алмазова ул. 2)  - Жулянская улица (Крюковщина), 1А ",Выполнен,Оплата наличными,Оплата наличными,5
74715,AE8901OT,8.72,92.00,92.00,0.00,21-05-2021 17:08,"ТЦ Наше небо (Крюковщина; Балукова ул. 1Е)  - Волынская улица, 48/50 ",Выполнен,Оплата наличными,Оплата наличными,5
75094,AE8912OT,12.84,160.00,0.00,160.00,21-05-2021 16:58,"Ресторан Маджари (ул. Преображенская, 26)  - Днепровская Набережная, 23А ",Выполнен,Безналичная оплата,На баланс,5
184596,AE1268OX21-05-2021 16:57,"Витянская улица (Вишневое), 2  - Нижний Вал улица, 51 ",Отменен,Оплата наличными,Оплата наличными,
191232,AE1173OX,11.42,106.00,106.00,0.00,21-05-2021 16:42,"Електротехнічна вулиця, 16  - Гайдай Зої вулиця, 2А ",Выполнен,Оплата наличными,Оплата наличными,5
183904,AE0694PA,35.78,300.00,0.00,300.00,21-05-2021 16:17,"Белогородский переулок (Боярка) (Южный), 13  - Харьковское шоссе, 158 ",Выполнен,Безналичная оплата,На баланс,5
75094,AE8912OT,7.81,149.00,149.00,0.00,21-05-2021 15:59,"Главный военный госпиталь МОУ (Госпитальная ул. 18)  - Воздухофлотский проспект, 62 ",Выполнен,Оплата наличными,Оплата наличными,5
